"id","title","artist","date"
50,"Rest on the Flight into Egypt (The Miraculous Field of Wheat)","Joachim Patinir","c. 1518-1524"
54,"Mary Magdalene","Attributed to Nikolaus Gerhaerts van Leyden","c. 1460"
547,"Lamentation with Saint John the Baptist and Saint Catherine of Alexandria","Master of the Legend of Saint Lucy","1493-1501"
548,"Portrait of Charlotte of France","Jean Clouet the Younger","c. 1522"
1281,"Venus and Cupid","Monogrammist HB with the Griffin's Head","c. 1529"
1323,null,"Lucas Cranach the Elder","c. 1520"
1324,"Portrait of Moritz Buchner","Lucas Cranach the Elder","c. 1520"
1671,"The Presentation in the Temple","Jacob Jansz.","c. 1490-1500"
1676,"Madonna and Child with Grapes","Lucas Cranach the Elder","c. 1537"
1677,"Portrait of a Girl","Georg Pencz","c. 1545"
3594,"Portrait of a Noblewoman","Artist Unknown","c. 1550"
3734,"Triptych with the Madonna and Child, saints, and prophets","Pierre Reymond","1538"
4035,"Virgin and Child in a Landscape","Artist(s) Unknown, possibly Master of the Madonna Grog or Aert van den Bossche, formerly Master of the Embroidered Foliage","c. 1492-1498"
111615,"Lamentation of Christ","Hans Schnatterpeck","1490s"
116096,"Adoration of the Magi","Artist Unknown","1500-1599"
