"id","title","artist","date"
44,"The White Bridge","John Henry Twachtman","c. 1895"
45,"Isles of Shoals","Childe Hassam","1899"
473,"Portrait of Commander Lewis Warrington (1782-1851)","Rembrandt Peale","1801-1802"
1565,"Diana with a Bow","Frederick William MacMonnies","1890"
1737,"Still Life with Fruit","Severin Roesen","c. 1860"
6176,"The Butterfly Catchers","Theodore Wendel","1900-1908"
10540,"The Vista","Ralph Albert Blakelock","c. 1890"
10543,"Moonlight Landscape","George Elmer Browne",null
12936,"The Mill Stream, Montclair, New Jersey","George Inness","c. 1888"
52894,"Jules Bastien-Lepage","Augustus Saint-Gaudens","1880"
98269,"Abundant Fruit","Severin Roesen","1858"
98274,"Still Life with Fruit, Cakes and Wine","Raphaelle Peale","1821"
107013,"Farm Among Hills, Giverny","Theodore Robinson","c. 1887"
110044,"Robert Louis Stevenson","Augustus Saint-Gaudens","1887"
110045,"Mildred and William Dean Howells","Augustus Saint-Gaudens","1898"
114620,"The Parasol","Richard E. Miller","c. 1910-1913"
