"id","title","artist","date","room"
611,"Winged Genius","Unknown","c. 883-859 BCE","G240"
1739,"Birds with Foliage",null,"late 4th-mid 5th century","G240"
1740,"Elephant Attacking a Feline",null,"late 4th-mid 5th century","G240"
115893,"Biomorphic Ganglia","Michael M. Glancy","2003","G240"
115894,"PWV 357","Mark Peiser","1979","G240"
115895,"Cinderella Shoes","Silvia Levenson","1999","G240"
115896,"7-1985 #25","Klaus Moje","1985","G240"
115898,"Standing Arc","Harvey K. Littleton","1982","G240"
115900,"Map X","Bertil Vallien","1995","G240"
115903,"Black Luna","Mark Zirpel","2003","G240"
115904,"Untitled",null,"1991","G240"
115905,"Smaller Clear/White Vase Form","Joel Philip Myers","1990","G240"
115920,"Untitled","Ann Wolff","c. 1986","G240"
115922,"Patchwork Vase","A.V.E.M. (Arte Vetraria Muranese)","c. 1950","G240"
115923,"Pezzato Glass Vase","Fulvio Bianconi","c. 1955","G240"
115926,"Murrini Vase","Giles Bettison","c. 2000","G240"
115933,"Torc II","Keith Cummings","1991","G240"
115935,"Inside","Karla Trinkley","1985","G240"
115948,"Untitled","Laura de Santillana","1995","G240"
115949,"Cast Form Type VI",null,"1979","G240"
115951,"Space Gun","Dan Dailey","c. 1985","G240"
115953,"Marquiscarpa #95-2","Richard Marquis","c. 1995","G240"
115956,"Untitled","Daniel Clayman","c. 1990","G240"
115958,"Cube","Marian Karel","1990","G240"
115958,"Cube","Marian Karel","1990","G240"
