"id","title","artist","date"
684,"View of West Point","Thomas Chambers","c. 1850"
2421,"Cupboard","Aslak Lie","1870"
2505,"Portrait of a Boy","James B. Read","1856"
5423,"Portrait of Moses Kimball, Jr. (b. 1778)","William Jennys","c. 1808"
5573,"Portrait of Harriet Brown","Sheldon Peck","c. 1845"
5670,"Portrait of a Young Boy","Samuel Miller","c. 1835"
6859,"Rooster weathervane",null,"c. 1860"
6860,"Curlew decoy",null,"late 19th century"
6861,"Juvenile Golden Plover decoy",null,"late 19th century"
6862,"Willet decoy",null,"late 19th century"
6863,"Sandpiper decoy",null,"late 19th century"
32465,"Chest","Ivar Kvalen (Quallen)","1777"
61421,"Duck decoy","Lemeul Travis Ward, Jr.","c. 1948"
61422,"Duck decoy",null,"early 20th century"
61424,"Sandpiper decoy",null,"late 19th century"
90004,"Rooster weathervane","Rochester Iron Works","c. 1875-1900"
90009,"Hamburg Rooster weathervane","L.W. Cushing & Sons","c. 1880"
90011,"Rooster weathervane","J.W. Fiske","c. 1880"
90014,"Rooster weathervane",null,"c. 1850"
90021,"Rooster weathervane","J. Howard & Company","c. 1855"
90022,"Rooster weathervane",null,"c. 1850"
90023,"Rooster weathervane",null,"c. 1890"
91467,"Snake jug","Anna Pottery","c. 1865"
95999,"""Elastic"" chair","Samuel Gragg","c. 1808"
99785,"Cock or Chanticleer","William Hunt Diederich","c. 1918"
102035,"Tavern sign",null,"c. 1830-1870"
105384,"Horse Jumping Through Hoop","A.L. Jewell & Company","c. 1865"
106096,"Portrait of Richard John Cock","Joshua Johnson","c. 1817"
107066,"Deer weathervane",null,"c. 1885"
113926,"Writing desk","William Howard","c. 1870"
116295,"Portrait of Parson William Mason","Artist Unknown","c. 1800"
118656,"Portrait of Ephraim Niles Byram","Orlando Hand Bears","1834"
