"id","title","artist","date"
4079,"East Berlin","Thomas F. Arndt","1985"
25606,"Untitled (Faith Mission on Hennepin Avenue, Minneapolis)","Mrs. Richard S. Wilcox, Jr.",null
26153,"Untitled","Wayne Miller",null
37274,"Carrefour, Blois, France",null,"1930"
37285,"Policeman in a Dockland Alley, Bermondsey, London","Bill Brandt","1930s"
100055,"Prayer Alley, Sucre, Bolivia","Esther Glaser Parada","1964-1966"
102761,"Alley with Two Figures, Paris","Frederick B. Scheel","1972"
117557,"Shinjuku","Yoshida T?shi","1938"
117564,"Umbrella","Yoshida T?shi","1940"
117612,"Hy?roku","Yoshida T?shi","1951"
