"id","title","artist","date"
1430,"The Pleasures of the Seasons: Spring","Johann Georg Platzer","c. 1730"
1487,"The Annunciation","Agostino Masucci","1742"
1494,"The Pleasures of the Seasons: Winter","Johann Georg Platzer","c. 1730"
1523,"The Pleasures of the Seasons: Summer","Johann Georg Platzer","c. 1730"
1542,"The Pleasures of the Seasons: Autumn","Johann Georg Platzer","c. 1730"
1665,"The Trinity with Souls in Purgatory","Corrado Giaquinto","c. 1743"
1672,"Christ and the Woman Taken in Adultery","Sebastiano Ricci","c. 1710"
1782,"Madonna of the Martyrs","Francesco Solimena","c. 1705"
1849,"The Prodigal Son","Pier Leone Ghezzi","c. 1720-1730"
2245,"Saint John the Baptist",null,"c. 1755"
2420,"Writing desk",null,"c. 1760"
2487,null,null,"c. 1699"
8776,"Diogenes","Johann Carl Loth",null
107290,"St. Jerome in the Desert","Paolo Pagani","c. 1700"
110973,"Immaculate Madonna","Giacomo Antonio Ponsonelli","c.1710"
