"id","title","artist","date"
452,"Catskill Mountain House","Jasper Francis Cropsey","1855"
689,"Reminiscences of 1865","John Frederick Peto","after 1900"
1436,"Landscape","Albert Bierstadt","c. 1890"
1544,"Girl by a Stream, Flanders","Daniel Ridgway Knight","c. 1890"
1694,"A Scene on the Tohickon Creek: Autumn","Thomas Moran","1868"
1935,"Bust of the Greek Slave","Hiram Powers","after 1845-1846"
2543,"A Fishing Party Off Long Island","Junius Brutus Stearns","1860"
2607,"The Bronze Horses of San Marco, Venice","Charles Caryl Coleman","1876"
2762,"Quiet Seascape","William Trost Richards","1883"
2903,"The Merced River in Yosemite","Albert Bierstadt","1868"
6245,"The Savoyard Boy","Eastman Johnson","c. 1853"
6532,"Venezia","Larkin Goldsmith Mead","c. 1865"
7988,"Winter Landscape","Hugh Bolton Jones",null
35547,"Hudson River Landscape","Homer Dodge Martin","c. 1860-1865"
58350,"Edge of the Moor, Brittany","Hugh Bolton Jones","1877"
81074,"Medusa","Harriet Goodhue Hosmer","c. 1854"
106528,"Approaching Storm, White Mountains","Alvan Fisher","1820s"
