"id","title","artist","date"
250,"Cassone (chest)",null,null
1464,"Coat of arms of Cardinal Scipione Borghese (1579-1633)",null,"c. 1630-1620"
1465,"Coat of arms of Cardinal Scipione Borghese (1579-1633)",null,"c. 1620-1630"
1471,"Erminia and the Shepherds","Guercino (Giovanni Francesco Barbieri)","1648"
1543,"Saint Humphrey (Onuphrius)","Salvator Rosa","c. 1660"
1571,"Side table","Giovanni Paolo Schor (born Johann Paul Schor)","late 17th century"
1590,"Saints in Glory","Francesco Solimena","c. 1690"
1613,"The Immaculate Conception with Saints Francis of Assisi and Anthony of Padua","Giovanni Benedetto Castiglione (Il Grechetto)","1650"
1621,"Judith with the Head of Holofernes","Pietro della Vecchia (Pietro Muttoni)","probably between 1635 and 1650"
1683,"St. Ambrose","Claude Vignon","1623-1625"
1731,"Monsignor Zondadari Blessing the Spanish","Placido Costanzi","1728"
1735,"Diana the Huntress","Giovanni Battista Gaulli (Baciccio)","c. 1690"
1949,"Adam Discovering the Body of Abel","Carlo Magnone","date unknown / plausible date of c. 1644-1647"
1955,"Madonna and Child","Carlo Maratti","1711"
3205,"Monks Praying in a Grotto","Alessandro Magnasco","c. 1730"
3212,"The Raising of Lazarus","Jacopo Tintoretto","c. 1558-1559"
3589,"Venus and Adonis","Nicolas Mignard (Mignard d'Avignon)","c. 1650"
7020,"Salome with the Head of Saint John the Baptist","Onorio Marinari","c. 1680"
8552,"Mirror",null,"c. 1700"
10233,"Nymphs at the Bath","Scarsellino (Ippolito Scarsella)","c. 1600"
10424,"The Temptation of Christ","Titian (Tiziano Vecelli)","c. 1516-1525"
18347,"Saint Augustine and Saint Monica","Gioacchino Assereto",null
19939,"St. Paul the Hermit","Andrea Bergondi","1772"
109582,"Saint Benedict of Palermo",null,"c. 1734"
112157,"Aleijadinho Candlestick","Fernando Campana","2011"
