"id","title","artist","date"
3076,"The Asparagus Vendor","Pieter de Hooch","1675-1680"
8027,"Kimono",null,"early 20th century"
8206,"[Women by an iris pond]","Torii Kiyonaga","1785"
22429,"Beauty in Peony Garden","Utagawa Hiroshige","1847-1852"
22594,"View from Shichirigahama Beach","Katsushika Hokusai","1820-1833"
22596,"Woman Reading a Book","Katsushika Hokusai","1822"
22602,"Right No.1 Cocoon Branch","Totoya Hokkei","early 19th century"
22608,"(Spring at Enoshima)","Totoya Hokkei",null
25069,"Kimono",null,"early 20th century"
30378,"Fisherman with Lobster",null,"late 18th century"
30379,"Shinto_ Priest",null,"late 18th century"
30380,"Fox Priest","Yoshitada",null
30381,"Grazing Horse",null,"early 19th century"
30394,"Demon Massaging the King of Hell",null,"early 19th century"
30440,"No_ Mask","Koetsu",null
30447,"Lion Dancer","Kazuya",null
30449,"Monkey Trainer","Joso","late 19th century"
30452,"God of Longevity with Crane",null,"early 20th century"
30458,"Fisherman with Octopus","Kosan Sha",null
30461,"Kappa with Cucumber","Youn",null
30463,"Jiraiya and the Magic Toad","Kunimitsu",null
30468,"Hare and the Moon",null,"late 19th century"
30474,"Hotei","Yasuaki","early 20th century"
30478,"Fox Mask","Tekka Makutomo",null
30479,"Dutchman with Chinese Child",null,"late 18th century"
30483,"Toad on Straw Sandal","Kokei",null
30487,"Mendicant","Shuzan",null
30495,"Tengu Mask",null,null
30499,"Loquats",null,"late 19th century"
30506,"Dog in Graveyard","Shumin",null
30517,"Skeleton Beating a Skull",null,null
42221,"Getting Dressed","Suzuki Harunobu","1765-1769"
61085,"Odawara","Utagawa Hiroshige","July 1854"
61216,"Iris Gaeden at Horikiri","Utagawa Hiroshige","April 1852"
62098,"Plum Garden at Kameido","Hiroshige II","1859-1862"
67772,"Courtesan Hinazuru of the Ch?jiya House","Cho_bunsai  Eishi","c. 1794-1795"
