"id","title","artist","date"
191,"Portrait of the Artist Alphonse Legros","Henri Fantin-Latour","1856"
1395,"Peasant Girl at the Spring","Jean-Baptiste-Camille Corot","c. 1860-1865"
1634,"The Wounded Eurydice","Jean-Baptiste-Camille Corot","c. 1868-1870"
1726,"Hebe and the Eagle of Jupiter",null,"modeled c. 1853-1855 (casting history and edition size unknown)"
1744,"Roses","Henri Fantin-Latour","1884"
1749,"Autumn, Forest Interior",null,"c. 1860"
1913,"The Plague in Rome","Jules Elie Delaunay","1869"
1976,"Evocation of Love","Jean-Baptiste-Camille Corot","1850-1855"
2624,null,null,"c. 1849"
4500,"Still Life with a Cucumber and a Pitcher",null,"1847"
5912,"An Arab Encampment","Gustave-Achille Guillaumet","c. 1880"
5924,"Landscape","Jean-Charles Cazin","c. 1880"
5925,"Shepherdess and Sheep, Fontainebleau","Charles-Emile Jacque",null
6247,"Trees to the Left of a Stream","Henri-Joseph Harpignies","1890"
26114,"Antoine-Laurent de Lavoisier (1743-1794)",null,"1891"
100185,"View in the Roman Campagna",null,"1843"
