"id","title","artist","date"
5614,"Autumn Landscape","Okada Hank?",null
5616,"Pure Sound of the Rivers and Mountains","Takebe Ry?tai",null
8096,"Snowscape","Hidaka Tetsu?","1865"
8557,"Facing the Autumn Wind","Kan Tenj?",null
8715,"Landscape","Hosokawa Rinkoku",null
8716,"Drifting in a Small Boat","Inoue Kinga",null
19784,"Views of the Hsiao and Hsiang Rivers","Kushiro Unzen","1807"
19785,"Views of the Hsiao and Hsiang Rivers","Kushiro Unzen","1807"
60435,"Handled Flower Basket","Ueda Shounsai","mid-20th century"
60436,"Cylindrical Basket","Tanabe Chikuunsai","early 20th century"
60437,"Basin-shaped Basket","Kameyama Kochikusai","early 20th century"
