"id","title","artist","date"
261,"Mirror Frame",null,"mid 17th century"
420,"Mirror",null,"c. 1775"
425,"Dressing table","""The Garvan Carver""","c. 1760-1780"
427,"Highboy","Spikey Leaf Carver","c. 1760-1780"
486,"Portrait of George Washington (1732?1799)","Thomas Sully","c. 1820"
675,"Albarello (apothecary jar)",null,"c. 1450-1500"
1217,"Bust of George Washington","Hiram Powers","c. 1853"
1435,"Basin with Hercules and Cacus","Orazio Fontana","c. 1570"
1493,"Tall case clock",null,"c. 1780"
3295,"High Chest of Drawers",null,"c. 1735"
3548,"Diamond-point engraved winged goblet",null,"c. 1660"
3908,"Basin with Apollo and the Muses","Workshop of Orazio Fontana","c. 1575-1600"
4797,"Embroidered Box",null,"1662"
5065,"Candlestick",null,"c. 1680"
5342,"Japanned side chair",null,"c. 1760 (19th century decoration)"
5358,"Feeding Cup",null,"c. 1760"
5359,"Candlestick and Food Warmer",null,"c. 1765"
5363,"Mug",null,"1745"
5365,"Covered sugar pot",null,"c. 1740"
6228,"The Lost Pleiad","Randolph Rogers","1874 (modeled)"
6379,"High chest of drawers",null,"c. 1750-1800"
8946,"Puzzle jug\r\n",null,"c. 1750"
8949,"Delft shoe, one of a pair\r\n",null,"1720"
8950,"Delft Shoe, one of a pair",null,"1720"
8952,"Candlestick, one of a pair","World's End pottery","c. 1760"
8953,"Candlestick, one of a pair","World's End pottery","c. 1760"
8954,"Charger",null,"c. 1690"
12479,"Flask",null,null
12498,"Vase",null,null
15399,"Side chair","Gilbert Ash","c. 1750-1765"
15450,"Entrance Door from a House in Hanover Square, London",null,"c. 1720-1740"
18354,"Plate with lion of St. Mark",null,"c. 1525"
18498,"Chest",null,"c. 1600"
24619,"Facon-de-Venise Filigree Goblet",null,"second half 16th century"
99318,"Side chair",null,"c. 1750"
106292,"Family register","William Murray","February 6, 1813"
110650,"Plate",null,null
110652,"Vase",null,"c. 1760"
110653,"Plate",null,"c. 1740"
110671,"Fazachely plate",null,"c. 1750"
110674,"Plate",null,"c. 1760"
110681,"Plate",null,"c. 1760"
110683,"Bottle jug",null,"c. 1760"
110992,"Tankard",null,"1728"
110994,"Posset pot",null,"c. 1690"
111016,"Posset pot",null,"1715"
111220,"Berkemeyer",null,null
111221,"Roemer",null,null
111222,"Diamond-point engraved drinking horn",null,null
111671,"Wine glass","Unknown","c. 1575-1600"
116112,"Footed bowl",null,"c. 1500"
116473,"Goblet",null,"c. 1550"
