"id","title","artist","date"
1162,"Boy with Butterfly Net","Henri Matisse","1907"
1224,null,"Ernst Ludwig Kirchner","1910 (altered 1920)"
1270,"Blind Man's Buff","Max Beckmann","1945"
1271,"Modern Bohemia","Ernst Ludwig Kirchner","1924"
1356,"The Avenger","Ernst Barlach","modeled 1914, cast 1923"
1411,"Three Bathers","Henri Matisse","1907"
1415,"The Blue House","Maurice de Vlaminck","1906"
1419,"The Skaters","Max Beckmann","1932"
1425,"Gross-Kromsdorf I","Lyonel Feininger","1915"
1429,"London: St. Paul's Cathedral seen from the Thames",null,"1906"
1639,"Study for Improvisation V","Vassily Kandinsky","1910"
1800,"The Intrigue","James Ensor","1911"
1890,"Reclining Nude II","Henri Matisse","1927"
2724,"Dance Training","Ernst Ludwig Kirchner","1910-1911 (altered 1920)"
3058,"The Viaduct at L'Estaque","Georges Braque","1907"
4695,"Eve with Apple","Aristide Maillol","c. 1902"
66611,"Puteaux: Smoke and Trees in Bloom","Jacques Villon","c. 1912"
99122,"Tamaris, France","Pierre Auguste Renoir","c. 1885"
115814,"Fields of Flowers in Bloom, near Caen","Jean Metzinger","1904"
118634,null,"Lyonel Feininger","1926"
118725,"Untitled (Infernal Figures)","Albert Bloch","1912"
118727,"Maedchen mit Huhn (Woman with Chicken)","Heinrich Campendonk","1918"
118728,"Bergziegen (Mountain Goats)","Heinrich Campendonk","1917"
118729,"Tanzende Paar (Dancing Couple)","Ernst Ludwig Kirchner","1913"
