"id","title","artist","date"
178,"Tapa Cloth",null,"1800-1825"
1699,"Malagan Pole (eikwar si mi walik)","Unknown","c. 1910"
1926,"Moai Kavakava",null,null
2138,"Bis Pole","Unknown",null
3385,"Malagan Figure","Unknown","c. 1890"
3386,"Malagan Frieze","Unknown",null
4042,"Feather Currency (tevau)",null,null
4523,"Kapkap",null,null
5680,"Neckrest",null,null
5753,"Bioma Figure",null,null
5754,"Hand Drum (kundu)",null,null
5859,"Mere Pounamu",null,null
5969,"Kapkap",null,null
7177,"Post Figure (poutokomanawa)","Unknown","c. 1840"
9000,"Ceremonial Paddle",null,"1820-1840"
12133,"Ceremonial Bull Roarer",null,"c. 1900"
12790,"House Panel",null,"c. 1880"
28662,"Bark Painting with Suns, Fish and Plants","Djunmal",null
33830,"Chief's Stool (no'oanga)",null,"1800-1825"
51803,"Prestige Bowl (purukei)",null,"c. 1900"
60503,"Kapkap",null,null
64099,"Kapkap",null,null
89938,"Plaque",null,"mid 20th century"
106737,"Necklace (lei niho palaoa)",null,"first half of 19th century"
114062,"Ancestor Figure",null,null
