"id","title","artist","date"
328,"Broad collar","Artist Unknown","2040-1783 BCE"
1666,"Forehead Ornament",null,null
1937,"Sande mask","Artist Unknown","second quarter of 20th century"
2137,"Mask","Artist Unknown","1950s"
3493,"Mask","Artist Unknown","1920-1930"
4172,"Ear pendants (tiboukaria)","Artist Unknown","1880-1900"
4176,"Fibulae (tizerzai)","Artist Unknown","late 19th-early 20th century"
4177,"Hand pendant","Artist Unknown","about 1850"
4314,"Divination tray","Artist Unknown","mid-20th century"
4450,"Crucifix","Artist Unknown",null
4776,"Hornbill mask","Artist Unknown","early 20th century"
4810,"Ifa Divination Tapper","Artist Unknown",null
5502,"Goldweight [Gun]",null,null
5678,"Processional cross","Artist Unknown","15th century"
5679,"Christian Cross",null,null
5756,"Untitled (two friends dressed in three-pocket bush suits)",null,"c. 1957-1960"
5758,"Dressed in a loose boubou, a white smock (forokoni), and a black fez, this wonderful giant known to everyone in Bamako is proud of his lovely daughter.",null,"c. 1949-1952 (printed 1998)"
5773,"Door","Artist Unknown","mid-19th century"
5773,"Door","Artist Unknown","mid-19th century"
5774,"Bag\r\n","Artist Unknown",null
5976,"Headrest",null,null
5980,"Flywhisk","Artist Unknown","c. 1950"
8672,"Vessel","Artist Unknown","mid-20th century"
13213,"Rimmonim (Torah finial) (one of a pair)",null,"early 20th century"
13214,"Rimmonim (Torah finial) (one of a pair)",null,null
13608,"Headrest","Artist Unknown","c. 2635-2155 BCE"
18096,"Page from the Koran",null,null
27204,"Goldweight [Geometric]",null,null
27207,"Goldweight [Geometric]",null,null
27213,"Goldweight [Geometric]",null,null
27228,"Goldweight [Geometric]",null,null
27230,"Goldweight [Geometric]",null,null
27231,"Goldweight [Geometric]",null,null
30091,"Goldweight [Locust]",null,null
30092,"Goldweight [Bird's Foot]",null,null
30093,"Goldweight [Caterpillar]",null,null
30095,"Goldweight [Cluster of Peanuts]",null,null
30096,"Goldweight [Gourd]",null,null
30127,"Goldweight [Figure Carrying an Axe]",null,null
30150,"Goldweight [Padlock with Key]",null,null
30153,"Goldweight [Pair of Sandals]",null,null
30156,"Goldweight [Sheild]",null,null
30158,"Goldweight [Seated Figure with an Implement Between the Knees]",null,null
30160,"Goldweight [Shield]",null,null
30165,"Goldweight [Mallet]",null,null
30171,"Goldweight [Bellows]",null,null
30174,"Goldweight [Spade]",null,null
30197,"Goldweight [Gun]",null,null
30206,"Goldweight [Dagger in Sheath]",null,null
30220,"Goldweight [Key]",null,null
30226,"Goldweight [Crab Claw]",null,null
30231,"Goldweight [Seed Pod]",null,null
30233,"Goldweight [Bundle of Tools]",null,null
30243,"Goldweight [Knot]",null,null
30259,"Goldweight [Tortoise with Fish]",null,null
30264,"Goldweight [Scorpion]",null,null
30266,"Goldweight [Horn]",null,null
30303,"Goldweight [Rifle]",null,null
30308,"Goldweight [Sword]",null,null
30309,"Goldweight [Sword and Sheath]",null,null
30313,"Goldweight [Blacksmith's Tongs]",null,null
30314,"Goldweight [Ladder]",null,null
30319,"Goldweight [Cannon]",null,null
30325,"Goldweight [Standing Figure Behind Seated Chief]",null,null
30326,"Goldweight [Stool]",null,null
30328,"Goldweight [Chair]",null,null
30332,"Goldweight [Figure Holding a Sword and Trophy Head]",null,null
30336,"Goldweight [Shield]",null,null
30337,"Goldweight [Mankala Board}",null,null
30338,"Goldweight [Figure Holding Rifle]",null,null
30339,"Goldweight [Figure Blowing a Side-blown Trumpet]",null,null
30342,"Goldweight [Two Joined Drums]",null,null
30358,"Goldweight [Birds in a Tree]",null,null
30528,"Goldweight [Bird]",null,null
30533,"Goldweight [Pair of Figures Working Bellows]",null,null
30543,"Goldweight [Leopard]",null,null
30545,"Goldweight [Lizard with Fish in Mouth]",null,null
30551,"Goldweight [Two Crossed Crocodiles]",null,null
30552,"Goldweight [Camel]",null,null
30557,"Goldweight [Three Birds on Ring]",null,null
30562,"Goldweight [Bird]",null,null
45269,"Prayer mat","Artist Unknown","second quarter of 20th century"
50083,"Headrest",null,null
60627,"Head","Artist Unknown","1000 BCE-300 CE"
60755,"Comb",null,null
60759,"Comb","Artist Unknown","mid-20th century"
82019,"Yad (Torah pointer)",null,"c. 1900"
84075,"Bracelet","Artist Unknown",null
84076,"Bracelet",null,null
84077,"Ring",null,null
106295,"Hairpin",null,"c. 1950s"
106971,"Coconut-grater stool","Artist Unknown","mid-20th century"
107069,"African/American","Kara Walker","1998"
108739,"Man's corset","Artist Unknown","about 1970"
108765,"Processional cross",null,"late 15th century"
108766,"Diptych icon","Artist Unknown","about 1700"
108767,"Album leaf","Artist Unknown","late 17th century"
108913,"Beard comb","Artist Unknown","early 20th century"
111099,"Basket","Artist Unknown","early 20th century"
111379,"Qur'anic board","Artist Unknown","1950s"
111471,"Drum","Artist Unknown","early 20th century"
111808,"Gelede mask","Artist Unknown","mid-20th century"
113080,"Drum","Artist Unknown","mid-20th century"
113136,"Toni Malau (St. Anthony)","Artist Unknown","late 18th?early 19th century"
113238,"Male figure","Artist Unknown",null
113938,"Vodou flag","Edgar (Haitian, dates unknown)","third quarter of 20th century"
114138,"Khosi figure","Artist Unknown","mid-20th century"
114437,"Gelede mask","Artist Unknown","mid-20th century"
114833,"Hair comb","Artist Unknown","about 1800"
115320,"Pair of clappers","Artist Unknown","about 1550-1292 BCE"
115353,"Slit gong","Artist Unknown","about 1940"
116474,"Do mask","Artist Unknown","second quarter of 20th century"
118829,"Headrest",null,null
