"id","title","artist","date"
1787,"The Battles of Yashima and Ichinotani",null,"c. 1650"
3335,"War Stirrup, one of a pair",null,null
6172,"Facemask (Mempo_)",null,null
16058,"Tsuba",null,null
16085,"Tsuba",null,null
16097,"Tsuba",null,null
16136,"Tsuba",null,null
16146,"Tsuba",null,null
19590,"Scenes From the Heike Monogatari: Battle of Ichi-No-Tani",null,null
21222,"Tsuba",null,null
24592,"War Stirrup",null,null
25811,"Tsuba (Sword Guard)",null,null
30350,"Boy's Kimono",null,"1868-1912"
30351,"Boy's Kimono",null,null
99765,"Sword, Katana type","Fujiwara Sadayuki","c. 1660"
99766,"Dagger, Tanto_ type","Minryu_shi Toshizame","c. 1820"
99768,"Facemask (Mempo_)",null,null
99769,"Facemask (Hanbo_)",null,null
108860,"Armor","Unknown","early 17th century"
114440,"Helmet","Unknown",null
