"id","title","artist","date"
453,"Portrait Bust of M. de Neuville, Captain of Artillery and Comptroller General","Jean-Jacques Caffieri","c. 1780"
705,"Plate from the Rohan service","Etienne Evans","1772"
706,"Dessert dish from the Rohan service",null,"1771"
707,"Dessert dish from the Rohan service",null,"1771"
708,null,"Fallot","1771"
709,null,null,"1771"
710,null,null,"1771"
3738,null,"Robert Carlhian","1949"
4167,"Covered tureen and underplate","Jean-Claude-Thomas Duplessis","1754-1755"
4411,"Africa",null,"c. 1765"
4412,null,"Vincennes Porcelain Factory","c. 1755"
4912,"America",null,"c. 1745"
8349,"Vase, one of a pair","Vincennes Porcelain Factory","1740-1756"
9429,"Armchair, one of eight",null,"c. 1756"
10196,"Bust of Louis XV","Chantilly Factory","1745-1750"
10363,"Vase, one of a pair","Vincennes Porcelain Factory","1752-1758"
10447,null,null,"1771"
36655,"Asia","Derby Porcelain Factory","c. 1775"
98204,"Upholstery for chair back",null,null
98205,"Upholstery for pair of chair arms",null,null
115709,"I Dreamed Your Dream For You and Now My Nightmare is Real","Louise Hindsgavl","2012"
