"id","title","artist","date"
77,"Luxembourg Gardens at Twilight","John Singer Sargent","1879"
129,null,"Camille Pissarro","1898"
774,null,"Edgar Degas","c. 1871"
1242,null,"Anders Zorn","c. 1911"
1320,"Dancer Putting on Her Stocking","Edgar Degas",null
1321,"Meadow Flowers","James Ensor","1883"
1390,"Head of a Young Woman","Pierre Auguste Renoir","late 19th century"
1410,"Notre Dame","Maximilien Luce","1899"
1417,"The Sunny Room","Edouard Vuillard","c. 1920"
1477,"Blessing of the Tuna Fleet at Groix","Paul Signac","1923"
1509,"The Birthday Party","John Singer Sargent","1887"
2040,"Portrait of Ruggiero Leoncavallo, 1858-1919","Giovanni Boldini","1906"
2240,"Nude Girl","Lovis Corinth","1886"
2806,"Nymphenburg","Vassily Kandinsky","1904"
3263,"The Mills at Montreuil-sur-Mer, Normandy","Fritz Thaulow","1891"
3903,"Woman in a Bathtub","Edgar Degas","1889 modeled (cast 1920-21) no. 26/C"
4190,"Red Gladioli","Piet Mondrian","c. 1906"
5091,"The Artist?s Mother Opening a Door","Edouard Vuillard","c. 1891-1892"
10444,"The Artist's Daughter, Julie, with her Nanny","Berthe Morisot","c. 1884"
10503,"Harlem River Scene","Ernest Lawson",null
10518,"The Upper Ipswich River","Philip Little","c. 1915"
34167,"Mining Village in Cornwall","Walter Elmer Schofield","ca. 1920"
103327,"Portrait of Mademoiselle Dubois","Alfred Stevens","1884"
106530,"The Seashore","James McNeill Whistler","1883-1885"
108723,"Moose Family Entering a Clearing","Bruno Liljefors","1930"
