"id","title","artist","date"
29495,"Civil Dignitary",null,"618-906"
31067,"Door Hood from Ceremonial Gate",null,"1728"
84073,"Lokapala Guardian King, one of a pair",null,"late 7th-early 8th century"
84074,"Lokapala Guardian King, one of a pair",null,"late 7th-early 8th century"
95595,"Camel, one of a pair",null,"618-907"
95596,"Camel, one of a pair, and Rider",null,"618-906"
95597,"Kowtowing Official",null,"late 7th-early 8th century"
95826,"Striding Horse",null,"549-577"
96035,"Striding Horse",null,"549-577"
96036,"Horse, one of a pair",null,"618-907"
96037,"Horse, one of a pair",null,"618-907"
96039,"Funerary urn, one of a pair",null,"618-907"
96040,"Funerary urn, one of a pair",null,"618-907"
97461,"Prancing Horse",null,"618-906"
