"id","title","artist","date"
197,"Caduceus",null,null
198,"Red-Figure Hydria","the White Sakkos Painter","c. 320 B.C."
293,"Crouching Lion",null,"330-317 B.C."
350,"Head of a Votary from the Temple of Golgoi",null,"600-500 B.C."
449,"Grave Stele",null,null
487,"Head of Aphrodite",null,null
1322,"Black-Figure Neck Amphora","the Painter of Vatican 359","c. 540 B.C."
1461,"Black-figured Hydria","the Antimenes Painter","c. 530 B.C."
1474,"Cinerary Box with Cover",null,null
1483,"Red-figure Kylix","the Villa Giulia Painter",null
1490,"Female Figure",null,"c. 2500-2400 B.C."
1491,"Figure of a ram",null,null
1502,"Head","Amedeo Modigliani","1911-1912"
1524,"Dionysus on a Donkey",null,null
2613,"Standing Deity Holding Horn and Bucket",null,null
4578,"View of Tangier",null,"1852-1853"
45640,"Corinthian helmet","Unknown","c. 540 BCE"
60318,"Apulian Red Figure Fish Plate",null,null
81219,"Fragment of a Lion Sarcophagus",null,"c. 250-275"
81243,"Cupid with a Hydria",null,null
