"id","title","artist","date"
516,null,"Hubert Robert","c. 1785"
546,null,"Joseph Wright of Derby","1777"
593,null,"John Singleton Copley","c. 1763"
1227,"The Attributes of the Arts and the Rewards Which Are Accorded Them",null,"1766"
1540,"Portrait of John Langston, Esquire, of Sarsden","Thomas Gainsborough R.A.","1787"
1566,"The Poorly Defended Rose","Michel Garnier","1789"
1567,"The Letter","Michel Garnier","1791"
1727,"Portrait of Mlle. Lange as Danae","Anne-Louis Girodet de Roucy-Trioson","1799"
2034,"Psyche Abandoned","Augustin Pajou","c. 1800"
2206,null,"Jean-Antoine Houdon","1780"
2570,null,null,"1793"
3296,"Cottage on Fire","Joseph Wright of Derby","c. 1786-1787"
4398,"View of the Colosseum from the Orti Farnesiani",null,"1833"
10433,"Portrait of Dr. Thomas Penrose","Louis Gauffier","1798"
10593,"The Union of Love and Friendship","Pierre-Paul Prud'hon","c. 1793"
33590,"Selling Fish","George Morland","1792"
