"id","title","artist","date"
538,"Embroidered Tablecover",null,null
3959,"Queen Trisala on Her Couch",null,"c. 1500"
3960,"Kalaha Preaches to King Sahr; Mahavira?s Departure with Indra (top); Adoration of a Tirthankara (bottom)",null,"c. 1500"
3961,"Kalaha Preaches to King Sahr / Mahavira?s Departure with Indra / Adoration of a Tirthankara",null,"c. 1500"
3962,"Mahavira Gives Away His Possessions (top) Adoration of a TIrthankara (bottom)",null,"c. 1500"
3963,"Mahavira Gives Away His Possessions / Adoration of a Tirthankara",null,"c. 1500"
4029,"Stele of Vishnu",null,null
4379,"Gowri Shankaram Necklace",null,"early 19th century"
4380,"Pambadam Earrings",null,null
5094,"Shiva",null,null
5110,"Lintel Arch From a Vishnu Temple",null,null
5369,"Shiva?s Family (Uma-Maheshvara)","Unknown","c. 1000"
5450,"Cosmic Parsvanatha",null,"c. 1525"
6161,"Standing Buddha",null,null
13299,"Jain Altarpiece",null,"1579"
15312,"Shawl",null,null
18766,"Krishna and Balarama underneath a Tree",null,null
18778,"Annapurna Giving Alms to Shiva",null,"19th century"
18784,"Kali Trampling Upon Shiva",null,"1854-55"
18787,"Ganga on a Crocodile",null,null
18789,"<Babu> Holding a Hookah",null,null
18790,"Kartikeya on a Peacock",null,null
18791,"Heroine with Peacock",null,null
30781,"Jina",null,"1135"
63495,"Torque",null,null
63496,"Torque",null,null
63499,"Necklace with Prayer Box",null,"late 19th-early 20th century"
70728,"Shiva and Parvati on Nandi with Kartikeya and Ganesha",null,null
