"id","title","artist","date"
3469,"Bowl","Otto Prutscher","c. 1905"
3488,"Stem glass","Otto Prutscher","c. 1910"
3824,"Storm lantern","Josef Hoffmann","c. 1904"
4554,"Side chair","Peter Behrens","1902"
5115,"Wall hanging","Eero Saarinen","c. 1934"
5738,"Urn","Frank Lloyd Wright","c. 1903"
5741,"Monumental  vase","William Day Gates","c. 1905-1910"
6777,"Floor lamp","J. Kuykens","c. 1930"
6779,"""MR20"" armchair","(Ludwig) Mies van der Rohe","c. 1931"
6782,"""Skyscraper"" night table","Kem (Karl Emanuel Martin) Weber","1928-1929"
6782,"""Skyscraper"" night table","Kem (Karl Emanuel Martin) Weber","1928-1929"
6783,"""Nocturne"" radio","Walter Dorwin Teague","c. 1937"
6785,"Rocking chaise, model no. 7500","August Thonet","c. 1880-1883"
6961,"Candlestick","Alfonso Iannelli","1926"
7097,"Basket","Josef Hoffmann","c. 1905-1910"
8317,"Table","Josef Hoffmann","1904"
8366,"Monumental vase","George R. Prentiss Kendrick","c. 1898-1900"
8368,"""Double Oval"" table","Charles Limbert","c. 1910"
8374,"""Skyscraper"" chair","Paul T. Frankl","c. 1927-1930"
8375,"Table lamp","Walter von Nessen","1935"
8428,"Desk","Ilonka Karasz","c. 1928"
17014,"White Bowl","Hazel Moore",null
17319,"Cloud Chamber Dream","John E. Anderson",null
18098,"The Rook","James Paul Morgan","c. 1950"
18100,"Green Weed River","Robert W. Peterson","c. 1951"
18300,"Caught in the Net I","Maurice Freedman","1949"
39830,"Desk","Paul T. Frankl","c. 1930"
39831,"""Egg"" rocking chair",null,"c. 1922"
39832,"""Sitzmaschine"" reclining armchair, model no. 670","Josef Hoffmann","c. 1905"
40321,"Architectuur / Frank Lloyd Wright","Hendrikus Theodorus Wijdeveld","1931"
40322,"Tentoonstelling van Nederlandsche Gemeentewerken (Exhibition of Dutch Municipal Works)","Antonius Kurvers","1926"
40371,"1930 Exposicion de Estocolmo","Sigurd Lewerentz","1929"
40410,"Hanging lantern","William Arthur Smith Benson","c. 1895"
40424,"Display cabinet","E. A. (Ernest Archibald) Taylor","c. 1898"
40431,"Umbrella stand","Friedrich Adler","1900-1901"
40451,"""Red-Blue"" chair","Gerrit Rietveld","c. 1974 (designed 1917-1918)"
40455,"End table","Gerrit Rietveld","1967 (original design 1923)"
40457,"Table from a nest of tables","Marcel Lajos Breuer","1926-1930"
40458,"Table from a nest of tables","Marcel Lajos Breuer","1926-1930"
40459,"Table from a nest of tables","Marcel Lajos Breuer","1926-1930"
40460,"Table from a nest of tables","Marcel Lajos Breuer","1926-1930"
40471,"Table lamp","Fritz August Breuhaus de Groot","c. 1928"
40569,"Pedestal","Gustave Serrurier-Bovy","1897"
61807,"Mantel clock","Josef Maria Olbrich","c. 1899"
61831,"Sideboard","Gerrit Rietveld","1959 (designed 1919)"
62046,"""Wassily"" armchair, model B3","Marcel Lajos Breuer","c. 1926"
63113,"Title page, Charles Rennie Mackintosh, Glasgow: Haus Eines Kunstfreundes (Meister der Innenkunst II)","Charles Rennie Mackintosh","1902"
95937,"Frankfurt Kitchen",null,"1926-1930"
95952,"Coffee pot",null,"c. 1925"
97717,"High-back side chair for the Argyle Street tea room","Charles Rennie Mackintosh","1897"
101773,"""Skyscraper"" bookcase","Paul T. Frankl","c. 1926"
106841,"Game table","Henry van de Velde","c. 1906"
107173,"Wasserfall (Waterfall)","Josef Hoffmann","1910-1912"
116294,"Curator's Office","Mark Dion","2012-2013"
