"id","title","artist","date"
157,"Vase with the Eight Taoist Immortals",null,"c. 1300"
513,"Ink tablet in the form of a turtle",null,null
5048,"Fan Painting of a Taoist Magician","Wan Shou-ch?i","c. 1650"
5505,"Deer By Stormy Sea","Ma Fu-t'u","c. 1670"
6002,"Bathing Feet in a Mountain Landscape","Hsieh Shih-ch?en","c. 1560"
11862,"Official Taoist Seal",null,null
16871,"Pictorial Hanging Illustrating the Feast of Peaches",null,"late 18th century"
31168,"Recessed-leg Altar Table",null,null
33827,"The Marvelous Words of the Supreme Jade Emperor (Kao-shang yu-huang pen-hsing chi-ching)",null,"c. 1500"
46241,"Money Tree",null,null
46241,"Money Tree",null,null
64422,"Two-piece Candlestick, one of a pair",null,"early 17th century"
64423,"Two-piece Candlestick, one of a pair",null,null
64878,"Taoist Stele of Five Deities",null,"722"
68565,"Celestial Worthy of Primordial Beginning",null,null
82959,"Chen-Wu, The Taoist Deity of the North",null,null
99452,"Image of a Celestial Worthy",null,null
103139,"Diagrams of the Eight Formations",null,"late 17th-early 18th century"
