"id","title","artist","date"
454,"Small Box (Kobako) with Butterflies",null,null
455,"Small Box (Kobako) in the Shape of a Firefly Cage",null,null
456,"Box",null,null
465,"Small Box (Kobako) with Landscapes",null,null
466,"Small Box (Kobako) in the shape of a Treasure Ship (Takarabune)",null,null
2008,"Narihira Riding Below Fuji","Sakai H?itsu","c. 1820"
2380,"Mirror",null,null
3872,"Box with Chrysanthemum Designs",null,"c. 1550"
8587,"Poetess Ono-no-Komachi","Kiyohara Yukinobu","mid 17th century"
8607,"Two Quails With Reeds","Sumiyoshi Hirosada",null
8635,"Events Throughout the Twelve Months of the Year","Tosa School","c. 1700"
27956,"Ko-omote (Young Woman)","Ogura So_ei","1991"
45402,"Suzuribako (Writing Box)","Hara Yo_yu_sai","early 19th century"
59229,"Takatsuki, one of a pair","Nagata Yu_ji",null
59236,"Takatsuki, one of a pair","Nagata Yu_ji",null
63451,"Cho_ken with Pattern of Drifting Mist",null,null
63689,"Cho_ken with Bamboo Pattern",null,null
91458,"Uji Bridge","Unknown",null
91460,"Willow Bridge and Water Wheel (Uji Bridge), one of a pair",null,null
95331,"Kasshiki","Bidou Yamaguchi","2004"
95332,"Shichiguchi","Bidou Yamaguchi","2004"
