"id","title","artist","date","room"
47,"Marriage","Gari Melchers","1893","G302"
263,"After the Reception","Douglas Volk","1887","G302"
303,"Rainy Evening on Hennepin Avenue","Robert Koehler","c. 1902","G302"
1385,"Mrs. T. in Cream Silk, No.2","George Bellows","1920","G302"
2805,"The Birthplace of Herbert Hoover, West Branch, Iowa","Grant Wood","1931","G302"
5683,"The Twins","Dale Nichols","1946","G302"
6299,"Sideboard","George Grant Elmslie","1915","G302"
6299,"Sideboard","John S. Bradstreet and Company","1915","G302"
6300,"Dining table, from a six-piece dining room suite","George Grant Elmslie","1915","G302"
6300,"Dining table, from a six-piece dining room suite","John S. Bradstreet and Company","1915","G302"
17128,"Halloween","Clara Gardner Mairs","c. 1920","G302"
17274,"Evening Concert","Floyd E. Brewer",null,"G302"
35251,"Chair, from a six-piece dining room suite","George Grant Elmslie",null,"G302"
35251,"Chair, from a six-piece dining room suite","John S. Bradstreet and Company",null,"G302"
35252,"Chair, from a six-piece dining room suite","George Grant Elmslie",null,"G302"
35252,"Chair, from a six-piece dining room suite","John S. Bradstreet and Company",null,"G302"
83269,"Portrait of Robert Koehler","Philip Little","1910","G302"
111895,"Chair, from a six-piece dining room suite","George Grant Elmslie",null,"G302"
111895,"Chair, from a six-piece dining room suite","John S. Bradstreet and Company",null,"G302"
111896,"Chair, from a six-piece dining room suite","George Grant Elmslie",null,"G302"
111896,"Chair, from a six-piece dining room suite","John S. Bradstreet and Company",null,"G302"
113114,"Cleota Collins","Henry W. Bannarn","1932","G302"
123974,"Walking Along a New Jersey Canal","Oscar Bluemner","1929","G302"
