"id","title","artist","date","room"
117086,"Living Ornamental Hairpin, No. 8","Murata Yoshihiko","2008","G275"
117142,"Fallen Moon 1","Kofushiwaki Tsukasa","1994","G275"
117143,"A Leaf, so It Has a Back and Front","Kofushiwaki Tsukasa","2000","G275"
121111,"Substantial Fruit","Sasai Fumie","2014","G275"
128107,"Biil",null,"c. 1865","G275"
128112,"Serape",null,"c. 1880","G275"
128113,"Transitional Blanket",null,"c. 1895","G275"
128117,"Navajo Classic Serape",null,"c. 1860","G275"
128118,"Sampler textile",null,null,"G275"
128120,"Late Classic serape",null,"c. 1875","G275"
128129,"Late Classic dress",null,"c. 1900","G275"
128139,"Eyedazzler",null,"c. 1900","G275"
128142,"Third phase variant",null,"c. 1900","G275"
128143,"""Moki"" blanket",null,"c. 1889","G275"
128145,"Banded serape",null,"c. 1890","G275"
