"id","title","artist","date","room"
131,"Avalokitesvara",null,"571","G200"
187,"Scenic Beauty Along Rivers and Mountains","Bian Wenyu","1614","G200"
560,"Head of the Buddha",null,"570-577","G200"
646,"Bodhisattva, one of a pair",null,"late 6th century","G200"
724,"Maitreya (The Buddha of the Future)",null,"early 6th century B.C.","G200"
807,"The Bodhisattva Guanyin and Flying Apsaras",null,null,"G200"
1373,"Udhyana Buddha",null,null,"G200"
1473,"Figure of a Monk",null,null,"G200"
3859,"The Road to Shu","Liu Du","1675","G200"
4729,"Misty Trees and Mountain Range","Dong Qichang","c. 1670","G200"
5240,"Chakrasamvara Embracing Vajravarahi",null,"1403-1424","G200"
5424,"The Bodhisattva Kuan-yin",null,null,"G200"
5788,"The Bodhisattva Guanyin",null,"late 11th-early 12th century","G200"
5808,"The Bodhisattva Avalokitesvara",null,"1403-1424","G200"
9719,"Ritual Buddhist Bottle Vase and Cover",null,null,"G200"
9720,"Ritual Buddhist Basin",null,null,"G200"
11983,"Bodhisattva, one of a pair",null,"late 6th century","G200"
12948,"Standing Buddha",null,"late 6th century","G200"
13718,"Head of a Crowned Bodhisattva",null,null,"G200"
16872,"Presentation Hanging for a Birthday",null,"1739-1740","G200"
17458,"Flying Apsaras",null,null,"G200"
17462,"Flying Apsaras",null,null,"G200"
29581,"Figure of Bodhisattvas, one of a pair",null,null,"G200"
29582,"Figure of Bodhisattvas, one of a pair",null,null,"G200"
30349,"Five leaves from a landscape album","Li Liufang","1621","G200"
30633,"The Monk Ananda",null,"618-906","G200"
30973,"Stormy Landscape with Fishermen at Sea","Zhou Chen",null,"G200"
30974,"Mountain Retreat","Xie Shichen",null,"G200"
30978,"Scholar's Mountain Retreat Amongst the Pines","Zou Zhilin",null,"G200"
31163,"Censer",null,"1723-1735","G200"
31164,"Vase",null,"1723-1735","G200"
31165,"Vase",null,"1723-1735","G200"
31166,"Imperial Candlestick",null,null,"G200"
31167,"Imperial Candlestick",null,"1723-1735","G200"
31223,"Benediction Scene",null,"late 8th century","G200"
31226,"Buddhist Reliquary",null,null,"G200"
32122,"Seated Guanyin",null,null,"G200"
33630,"Stone Rubbing of the Five Hundred Arhats (Wu-pai Lo-han ying ch'en tu)",null,"c. 1890","G200"
61570,"Stele of Maitreya Buddha",null,"563","G200"
61724,"Buddhist Ritual Water Bottle",null,"c. 750","G200"
63346,"Spherical Censer",null,null,"G200"
83514,"Buddhist trinity of Vairocana, Maitreya and Samantabhadra",null,"late 16th-17th century","G200"
90694,"Covered Incense Burner",null,null,"G200"
92368,"Buddhist Long-handled Censer",null,null,"G200"
99734,"Votive stele",null,"596","G200"
100842,"Dvarapala (Guardian Figure)",null,null,"G200"
113249,"two album leaves from a landscape album","Li Liufang","1621","G200"
113251,"two album leaves from a landscape album","Li Liufang","1621","G200"
113310,"two album leaves from a landscape album","Li Liufang","1621","G200"
113311,"two album leaves from a landscape album","Li Liufang","1621","G200"
