"id","title","artist","date","room"
89555,"#1","Cy Thao","1993-2001","G266-G274"
89568,"#14","Cy Thao","1993-2001","G266-G274"
89569,"#15","Cy Thao","1993-2001","G266-G274"
89575,"#21","Cy Thao","1993-2001","G266-G274"
89576,"#22","Cy Thao","1993-2001","G266-G274"
89577,"#23","Cy Thao","1993-2001","G266-G274"
89578,"#24","Cy Thao","1993-2001","G266-G274"
89579,"#25","Cy Thao","1993-2001","G266-G274"
89582,"#28","Cy Thao","1993-2001","G266-G274"
89589,"#35","Cy Thao","1993-2001","G266-G274"
89592,"#38","Cy Thao","1993-2001","G266-G274"
89594,"#40","Cy Thao","1993-2001","G266-G274"
89597,"#43","Cy Thao","1993-2001","G266-G274"
89599,"#45","Cy Thao","1993-2001","G266-G274"
89602,"#48","Cy Thao","1993-2001","G266-G274"
89604,"#50","Cy Thao","1993-2001","G266-G274"
127061,"Miniature Bronze Bust of Marlon Brando as the Godfather","Dick Smith","c. 1970","G266-G274"
127136,"Plague Hymn",null,"2004","G266-G274"
128360,"Reconstructing an exodus history: flight routes from camps and of ODP cases","Tiffany Chung","2017","G266-G274"
131860,"Pair of black child's tights",null,null,"G266-G274"
