"id","title","artist","date","room"
5614,"Autumn Landscape","Okada Hankō",null,"G223"
5616,"Pure Sound of the Rivers and Mountains","Takebe Ryōtai",null,"G223"
8096,"Snowscape","Hidaka Tetsuō","1865","G223"
8557,"Facing the Autumn Wind","Kan Tenjū",null,"G223"
8715,"Landscape","Hosokawa Rinkoku",null,"G223"
8716,"Drifting in a Small Boat","Inoue Kinga",null,"G223"
19784,"Views of the Hsiao and Hsiang Rivers","Kushiro Unzen","1807","G223"
19785,"Views of the Hsiao and Hsiang Rivers","Kushiro Unzen","1807","G223"
60435,"Handled Flower Basket","Ueda Shounsai","mid-20th century","G223"
60436,"Cylindrical Basket","Tanabe Chikuunsai","early 20th century","G223"
60437,"Basin-shaped Basket","Kameyama Kochikusai","early 20th century","G223"
