"id","title","artist","date","room"
773,"Table and Fruit","Fernand Léger","1909","G367"
1165,"The New One","John B. Flannagan","1935","G367"
1219,"Married Life","Roger de la Fresnaye","1912","G367"
1229,"Toreador","Jacques Lipchitz","1914-1915","G367"
1277,"Portrait of the Artist","André Derain","c. 1912-1914","G367"
1353,"Seated Harlequin","Juan Gris","c. 1920","G367"
1407,"The Bagpiper","André Derain","1910-1911","G367"
1425,"Gross-Kromsdorf I","Lyonel Feininger","1915","G367"
1503,"The Spanish Playing Cards","Joan Miró","1920","G367"
5781,"Untitled","Paul Outerbridge, Jr.","1922","G367"
10422,"Still Life","Juan Gris","1917","G367"
10458,"Little Servant Girl","Amedeo Modigliani","c. 1916","G367"
32615,"Constructed Head No.2","Naum Gabo","1916","G367"
103800,"The Clockmaker (Der Uhrmacher/ L'horloger)","Ivan Vasilievich Kliun","c. 1914","G367"
104486,"Sculpture 23","Rudolf Belling","1923","G367"
106095,"Italian Town by the Sea","Alexandra Exter","c. 1917","G367"
118808,"Ram","William Edmondson","c. 1938-1942","G367"
