"id","title","artist","date","room"
117152,"Spring and Summer [right of the pair Scenes from the Tale of Genji in the Four Seasons]","Unknown","mid 17th century","G253"
117153,"Autumn and Winter [left of the pair Scenes from the Tale of Genji in the Four Seasons]","Unknown","mid 17th century","G253"
117832,"Wedding robe","Unknown","20th century","G253"
122092,"The ""Jeweled Chaplet"" and ""Typhoon"" Chapters from the Tale of Genji",null,"late 18th-early 19th century","G253"
122097,"Fan with Akikonomu from ""The Maiden"" Chapter of the Tale of Genji","Sakai Hōitsu","early 19th century","G253"
