"id","title","artist","date","room"
415,"Dining table",null,"c. 1790-1800","G337"
435,"Wall sconce",null,"c. 1800","G337"
441,"Fire tongs",null,"c. 1800","G337"
442,"Fire shovel",null,"c. 1800","G337"
443,"Jamb hook, one of a pair",null,null,"G337"
590,"Eight-armed chandelier",null,"late 18th century","G337"
3227,"Armchair, one of a pair",null,"c. 1755","G337"
3228,"Armchair, one of a pair",null,"c. 1755","G337"
8010,"Charleston dining room",null,"1772","G337"
12613,"Tilt-top table",null,null,"G337"
15354,"Jamb hook, one of a pair",null,null,"G337"
15366,"Pair of Andirons",null,"c. 1800-1810","G337"
127014,"Basket",null,"2017","G337"
