"id","title","artist","date","room"
763,"Chilkat dancing blanket (Naaxin)",null,"c. 1840-1890","G261"
2227,"Rattle",null,"c. 1850-1910","G261"
2866,"Mask",null,null,"G261"
3895,"Feast Bowl",null,"c. 1850","G261"
4040,"Prince Albert","Arthur Amiotte","1989","G261"
4289,"Moccasins",null,"c. 1875-1890","G261"
4304,"Baby Bonnet",null,"1991","G261"
4351,"Woman's chopping knife (Ulu)",null,"c. 1920-1930","G261"
4553,"Transformation Mask","Richard Hunt","1993","G261"
4959,"Elk Dreamer's Society Pouch",null,"1890-1910","G261"
6326,"Red Totem I","George Morrison","1977","G261"
11953,"Untitled","Ernest Whiteman","1991","G261"
18567,"Badlands","Urban Stanley Couch","1962","G261"
33851,"Elk's Tooth Pendant",null,"c. 1850-1900","G261"
33852,"Elk's Tooth Pendant",null,"c. 1850-1900","G261"
33853,"Elk's Tooth Pendant",null,"mid 19th century","G261"
63378,"Winter Count",null,null,"G261"
63472,"Frontlet",null,"c. 1820","G261"
81027,"Sun Mask",null,"c. 1860","G261"
82032,"Pair of Woman's Leggings",null,"c. 1880","G261"
90961,"Parfleche",null,"c. 1890-1910","G261"
90983,"Tipi Bag",null,"c. 1875-1900","G261"
90989,"Bag",null,"1875-1900","G261"
94824,"Pouch",null,"c. 1880","G261"
104733,"Fighting dagger",null,"c. 1825-1830","G261"
105383,"Sketchbook","William Cohoe","1876","G261"
106821,"Frontlet",null,"c. 1850","G261"
111388,"Mask",null,"c. 1850-1900","G261"
112110,"Untitled",null,"Unknown","G261"
112123,"Victory Club",null,"c. 1880-1900","G261"
112567,"Mixed Blood Guy","Kevin Pourier","2009","G261"
114602,"Hunting Coat",null,"c. 1750","G261"
119370,"Red Eagle","Cold Lake First Nations (Denesuline) / Saulteaux","1975","G261"
119661,"Needle case in the form of a seal",null,"c. 1880-1910","G261"
119665,"Maskette",null,"500 BCE-500 CE","G261"
119676,"Basket",null,"c. 1900-1915","G261"
121200,"Headdress",null,"late19th-early 20th century","G261"
121301,"Fan",null,"c. 1950","G261"
121368,"Indian with Pipe","Fritz Scholder",null,"G261"
123066,"Walks In The Dark","Wendy Red Star","2011","G261"
123067,"Walks In The Dark costume/dress","Wendy Red Star","2015","G261"
123238,"Walks In The Dark costume/dance wand","Wendy Red Star","2013","G261"
123324,"Snow Goggles",null,"c. 1950-1960","G261"
123550,"Moonrise Over Little Bighorn","Marcus Amerman","1995","G261"
124938,"Walks In The Dark costume/headdress","Wendy Red Star","2015","G261"
124939,"Walks In The Dark costume/dance wand","Wendy Red Star","2013","G261"
