"id","title","artist","date","room"
1244,"Warrior with Shield","Henry Moore","1953–1954","G375"
1330,"Billboard","Grace Hartigan","1957","G375"
1354,"Bronze","Philip Guston","1955","G375"
1515,"The Studio","Larry Rivers","1956","G375"
10506,"Maja","Antonio Saura","1957","G375"
10547,"Number 55","Manolo Millares","1959","G375"
49206,"Jazz Quartet","Beauford Delaney","1946","G375"
67499,"Untitled","Beauford Delaney","1954","G375"
98513,"Chinese Landscape","Louise Nevelson","1959","G375"
121649,"Bacchanale - Adam And Eve","Jan Müller","1953","G375"
125255,"Confirmation Shrine","Gregory Gillespie","1990","G375"
125787,"The Salon","June Leaf","1965","G375"
