"id","title","artist","date","room"
8614,"Two Monkeys in a Pine Tree","Mori Sosen","early 19th century","G237"
34588,"Dog barking at a monkey trainer","Shibata Zeshin","mid to late 19th century","G237"
42289,"Monkeys hanging on each other in lines","Matsukawa Ryūchin","1841","G237"
42289,"Monkeys hanging on each other in lines","Umenoya Kakuju","1841","G237"
42309,"Monkey in a wedding gown","Ōnishi Chinnen","c. 1836","G237"
42387,"Monkey pyramid","Yoshimi Yutaka","January 1896","G237"
62512,"Monkeys","Mori Kansai","July 1887","G237"
106978,"Murasaki Shikibu at Ishiyamadera","Watanabe Seitei","c. 1900-1910","G237"
116771,"Monkey on a snow hill","Ōhara Donshū","mid 19th century","G237"
116783,"Monkeys Watching a Praying Mantis Catching a Wasp","Iwai Kōun","second half 18th century","G237"
117448,"Wedding robe (uchikake) with design of standing curtains, maple trees, and large drum","Unknown","late 19th century","G237"
118501,"Monkey Hanging from a Branch","Maruyama Ōkyo","Spring 1770","G237"
122081,"Story of the Wisteria Basket","Unknown",null,"G237"
129208,"Mimicry: Monkey","Akinaga Kunihiro","2018","G237"
