"id","title","artist","date","room"
1787,"The Battles of Yashima and Ichinotani",null,"c. 1650","G252"
3335,"War Stirrup, one of a pair",null,null,"G252"
6172,"Facemask (Mempo_)",null,null,"G252"
16058,"Tsuba",null,null,"G252"
16085,"Tsuba",null,null,"G252"
16097,"Tsuba",null,null,"G252"
16136,"Tsuba",null,null,"G252"
16146,"Tsuba",null,null,"G252"
19590,"Scenes From the Heike Monogatari: Battle of Ichi-No-Tani",null,null,"G252"
21222,"Tsuba",null,null,"G252"
24592,"War Stirrup",null,null,"G252"
25811,"Tsuba (Sword Guard)",null,null,"G252"
30350,"Boy's Kimono",null,"1868-1912","G252"
30351,"Boy's Kimono",null,null,"G252"
99765,"Sword, Katana type","Fujiwara Sadayuki","c. 1660","G252"
99766,"Dagger, Tanto_ type","Minryu_shi Toshizame","c. 1820","G252"
99768,"Facemask (Mempo_)",null,null,"G252"
99769,"Facemask (Hanbo_)",null,null,"G252"
108860,"Armor","Unknown","early 17th century","G252"
114440,"Helmet","Unknown",null,"G252"
